Z,N,PINN_mean_meV,PINN_max_abs_meV,PINN_rmse_meV,FAC_mean_meV,FAC_max_abs_meV,FAC_rmse_meV
1,10,-23.946432294341548,7117.017085466348,2794.131832632144,0.0458261170615647,0.707629187124955,0.23023229282544974
2,10,551.1422955509493,2786.208190569796,1583.5199363798272,-0.7219284317542256,2.8311080240084614,1.5874268856999305
3,10,798.8540977816907,6837.987188786151,2525.7444719159357,-2.3798150464455765,14.543893054006757,5.334250155448278
4,10,469.9144628722961,8794.113092198631,3090.272515949777,-8.285284527016966,46.184032096030364,16.189013200276374
5,10,278.9478994725729,8984.731451045891,3265.9548331298097,-23.799967573462506,112.98292515004266,39.735064897190135
6,10,720.3699750171265,7940.010625236008,3123.2720237743224,-43.30642918577597,234.57057221595244,80.17177914172987
7,10,1394.0781861124215,6694.09973335692,3275.5891162026046,-79.60962836398156,434.9149732940222,147.7912636232917
8,10,2118.1787112861957,8126.511817549687,4103.818098674627,-127.24127210805898,742.4511283840365,250.23537907906086
9,10,2457.754386234861,10003.877763281725,4616.362242367689,-204.33829641800054,1189.9770374859554,400.5782953187518
10,10,2542.338305654953,10726.833896846267,5062.243209284313,-305.65991829383756,1814.8577006000012,609.5943951614535
11,10,2547.972750512039,12425.554534162527,5593.833543713008,-441.3183777355559,2658.7821177261394,891.7661308362768
12,10,2947.0901728075196,13493.378059829636,6272.269377223968,-618.4773647431414,3768.1702888642135,1262.5842123021062
13,10,3056.0917559203936,14448.159899927436,6686.727383108373,-844.9685993165833,5193.722214013961,1738.9733206833764
14,10,3049.8755127209315,25911.97777954483,8991.55787004955,-1129.3821414559357,6991.087893176141,2339.504852316901
15,10,4420.0021229825015,34645.56387418154,11893.470299399243,-1480.9681011611547,9220.137326350265,3084.1659763423518
16,10,5390.428666038182,41041.2942825079,13750.293250433078,-10894.493708432232,90741.485032096,28970.314546313257
17,10,9089.18252577088,55414.300665123876,19299.857925418008,-13921.521773269236,116049.01696592089,37048.16866230148
18,10,11663.53135310068,64546.906263276134,22745.357202803283,-17537.109265672072,146283.19625937147,46698.518841098776
19,10,13248.511109901581,73040.08414507673,25392.01886167825,-19929.91288564077,163210.90591244784,52219.69011998332
20,10,14088.244217284955,83192.45238696902,28072.509656135633,-30621.656363175425,202076.59392515008,67448.39715573213
21,10,15634.107676298221,95123.59227616679,31784.14480212761,-36129.662018275776,223108.381297478,76492.61449265189
22,10,17689.37885112256,111143.7478475925,36833.7279502823,-40271.5078509421,245230.6070294315,84285.32841199833
23,10,21166.56767467809,134114.56573832117,44197.3759678293,-45901.41284117433,268452.7171210109,93900.44386910068
24,10,25305.71404657288,163039.1200087682,53474.86827147726,-50789.64320897246,292784.65457221604,102726.91706755762
25,10,26310.92825043387,194327.895978505,62759.798214071605,-65457.97333433652,353163.1573830469,123561.55933040573
26,10,18070.652168958666,232288.3112640459,79720.94468179652,-58087.798867266414,382630.82755350356,126373.36801275116
