Z,N,PINN_mean_meV,PINN_max_abs_meV,PINN_rmse_meV,FAC_mean_meV,FAC_max_abs_meV,FAC_rmse_meV
1,10,-40.53696891658492,205.4529170735302,89.35711268744191,0.0458261170615647,0.707629187124955,0.23023229282544974
2,10,11.619467936161662,306.65411798694487,119.41117439498575,-0.7219284317542256,2.8311080240084614,1.5874268856999305
3,10,54.387689483480905,551.752937954973,181.94630719391859,-2.3798150464455765,14.543893054006757,5.334250155448278
4,10,51.10810271803285,840.299885118689,281.3082122387753,-8.285284527016966,46.184032096030364,16.189013200276374
5,10,107.1652598894379,1422.259554479235,476.7037926468232,-23.799967573462506,112.98292515004266,39.735064897190135
6,10,248.796859434695,2704.9038040083133,870.7495400920399,-43.30642918577597,234.57057221595244,80.17177914172987
7,10,402.9499796722652,4043.6536835192205,1291.00092115163,-79.60962836398156,434.9149732940222,147.7912636232917
8,10,607.8527646163722,5311.142665745159,1691.5174805200713,-127.24127210805898,742.4511283840365,250.23537907906086
9,10,886.7508462658436,8024.402627410341,2551.717698871769,-204.33829641800054,1189.9770374859554,400.5782953187518
10,10,1186.9725342722159,10903.488202204055,3464.611790455552,-305.65991829383756,1814.8577006000012,609.5943951614535
11,10,1505.8333805497243,14258.200042634659,4529.532361810611,-441.3183777355559,2658.7821177261394,891.7661308362768
12,10,1861.2566296253426,18176.77086930262,5770.822206854774,-618.4773647431414,3768.1702888642135,1262.5842123021062
13,10,2237.812422291566,22685.774301588797,7194.87003052551,-844.9685993165833,5193.722214013961,1738.9733206833764
14,10,2624.3579715300584,27806.38619243729,8808.93163350999,-1129.3821414559357,6991.087893176141,2339.504852316901
15,10,3134.964236522134,33713.61873823916,10686.321995054943,-1480.9681011611547,9220.137326350265,3084.1659763423518
16,10,3589.0996100641764,40202.5644207999,12742.06428958658,-10894.493708432232,90741.485032096,28970.314546313257
17,10,3385.8084370663805,46792.82202725012,14875.214445640333,-13921.521773269236,116049.01696592089,37048.16866230148
18,10,1504.0551870400222,54325.19748331195,18774.210242125097,-17537.109265672072,146283.19625937147,46698.518841098776
19,10,-1519.8625254900805,62067.25540480079,27536.2412610886,-19929.91288564077,163210.90591244784,52219.69011998332
20,10,-5789.27851613219,109975.9618396451,41444.42082708483,-30621.656363175425,202076.59392515008,67448.39715573213
21,10,-13003.493026115928,182286.7246965584,63165.967830225316,-36129.662018275776,223108.381297478,76492.61449265189
22,10,-21930.336436640737,270134.54302880965,90404.49781066936,-40271.5078509421,245230.6070294315,84285.32841199833
23,10,-31690.070134019526,367092.9606806634,120836.03138217957,-45901.41284117433,268452.7171210109,93900.44386910068
24,10,-43988.91251842402,488155.93478136155,158994.7389833676,-50789.64320897246,292784.65457221604,102726.91706755762
25,10,-60277.320635035365,644407.7787087387,208380.8879789295,-65457.97333433652,353163.1573830469,123561.55933040573
26,10,-76387.59986811013,801970.4494546368,258347.4890262814,-58087.798867266414,382630.82755350356,126373.36801275116
